0.766859198,0.195970922,0.011027265,0.047453936,0.01852094,0.015631102,0,1.023854028,0.142749658,0.006077473,0.063072071,0.00618628,0.003672271,8.26E-05
1.420788115,0.392450168,0.107367358,0.264604183,0.12406357,0.023023585,0,0.834262633,0.926977065,0.049813569,0.02409081,0.06088316,0.017487471,0
0.400892175,0.127955011,0,0.048954446,0.400216298,0,0,0.130025529,0.069928068,0.428232888,0,0.538729054,0.001041379,0
0,0.109550692,0,0.06198328,0,0.011368708,0,0,0.123708244,0,0.725385051,0,0,0
0,0,0.140540294,0.019340246,0,0,0,0,0.021345244,0,0,0.220261642,0,0
0,0.006820458,0.002048812,0,0.008231404,0,0.469022653,0,0,0,0,0,0,0
0,0,0,0,0.000233402,0.014682752,0.578634531,0,0,0,0,0,0.000105026,0
0.766859198,0.195970922,0.011027265,0.047453936,0.01852094,0.015631102,0,1.023854028,0.142749658,0.006077473,0.063072071,0.00618628,0.003672271,8.26E-05
1.420788115,0.392450168,0.107367358,0.264604183,0.12406357,0.023023585,0,0.834262633,0.926977065,0.049813569,0.02409081,0.06088316,0.017487471,0
0.400892175,0.127955011,0,0.048954446,0.400216298,0,0,0.130025529,0.069928068,0.428232888,0,0.538729054,0.001041379,0
0,0.109550692,0,0.06198328,0,0.011368708,0,0,0.123708244,0,0.725385051,0,0,0
0,0,0.140540294,0.019340246,0,0,0,0,0.021345244,0,0,0.220261642,0,0
0,0.006820458,0.002048812,0,0.008231404,0,0.469022653,0,0,0,0,0,0,0
0,0,0,0,0.000233402,0.014682752,0.578634531,0,0,0,0,0,0.000105026,0
